ocel_id;ocel_type
e_split_1;SplitSteelSheet
e_split_2;SplitSteelSheet
e_split_3;SplitSteelSheet
e_split_4;SplitSteelSheet
e_split_5;SplitSteelSheet
e_split_6;SplitSteelSheet
e_split_7;SplitSteelSheet
e_split_8;SplitSteelSheet
e_split_9;SplitSteelSheet
e_heat_1;HeatSteelSheet
e_split_10;SplitSteelSheet
e_heat_2;HeatSteelSheet
e_split_11;SplitSteelSheet
e_heat_3;HeatSteelSheet
e_split_12;SplitSteelSheet
e_heat_4;HeatSteelSheet
e_split_13;SplitSteelSheet
e_heat_5;HeatSteelSheet
e_split_14;SplitSteelSheet
e_heat_6;HeatSteelSheet
e_split_15;SplitSteelSheet
e_heat_7;HeatSteelSheet
e_split_16;SplitSteelSheet
e_heat_8;HeatSteelSheet
e_split_17;SplitSteelSheet
e_heat_9;HeatSteelSheet
e_split_18;SplitSteelSheet
e_heat_10;HeatSteelSheet
e_split_19;SplitSteelSheet
e_heat_11;HeatSteelSheet
e_split_20;SplitSteelSheet
e_heat_12;HeatSteelSheet
e_split_21;SplitSteelSheet
e_heat_13;HeatSteelSheet
e_split_22;SplitSteelSheet
e_heat_14;HeatSteelSheet
e_split_23;SplitSteelSheet
e_heat_15;HeatSteelSheet
e_split_24;SplitSteelSheet
e_heat_16;HeatSteelSheet
e_split_25;SplitSteelSheet
e_heat_17;HeatSteelSheet
e_split_26;SplitSteelSheet
e_heat_18;HeatSteelSheet
e_split_27;SplitSteelSheet
e_heat_19;HeatSteelSheet
e_split_28;SplitSteelSheet
e_heat_20;HeatSteelSheet
e_split_29;SplitSteelSheet
e_heat_21;HeatSteelSheet
e_split_30;SplitSteelSheet
e_heat_22;HeatSteelSheet
e_split_31;SplitSteelSheet
e_heat_23;HeatSteelSheet
e_split_32;SplitSteelSheet
e_heat_24;HeatSteelSheet
e_split_33;SplitSteelSheet
e_heat_25;HeatSteelSheet
e_split_34;SplitSteelSheet
e_heat_26;HeatSteelSheet
e_split_35;SplitSteelSheet
e_heat_27;HeatSteelSheet
e_split_36;SplitSteelSheet
e_heat_28;HeatSteelSheet
e_split_37;SplitSteelSheet
e_heat_29;HeatSteelSheet
e_split_38;SplitSteelSheet
e_heat_30;HeatSteelSheet
e_split_39;SplitSteelSheet
e_heat_31;HeatSteelSheet
e_split_40;SplitSteelSheet
e_heat_32;HeatSteelSheet
e_split_41;SplitSteelSheet
e_heat_33;HeatSteelSheet
e_split_42;SplitSteelSheet
e_heat_34;HeatSteelSheet
e_split_43;SplitSteelSheet
e_heat_35;HeatSteelSheet
e_split_44;SplitSteelSheet
e_heat_36;HeatSteelSheet
e_split_45;SplitSteelSheet
e_heat_37;HeatSteelSheet
e_split_46;SplitSteelSheet
e_heat_38;HeatSteelSheet
e_split_47;SplitSteelSheet
e_heat_39;HeatSteelSheet
e_split_48;SplitSteelSheet
e_heat_40;HeatSteelSheet
e_split_49;SplitSteelSheet
e_heat_41;HeatSteelSheet
e_split_50;SplitSteelSheet
e_heat_42;HeatSteelSheet
e_split_51;SplitSteelSheet
e_heat_43;HeatSteelSheet
e_split_52;SplitSteelSheet
e_heat_44;HeatSteelSheet
e_split_53;SplitSteelSheet
e_heat_45;HeatSteelSheet
e_split_54;SplitSteelSheet
e_heat_46;HeatSteelSheet
e_split_55;SplitSteelSheet
e_heat_47;HeatSteelSheet
e_split_56;SplitSteelSheet
