ocel_id;ocel_time;p_duration[s];s_co2e[kg]
e_assembly_200;2023-04-03 08:56:50;5.0;?
e_assembly_188;2023-04-03 08:57:12;5.0;?
e_assembly_189;2023-04-03 08:57:35;5.0;?
e_assembly_80;2023-04-03 08:57:57;5.0;?
e_assembly_94;2023-04-03 08:58:21;5.0;?
e_assembly_63;2023-04-03 08:58:43;5.0;?
e_assembly_17;2023-04-03 08:59:04;5.0;?
e_assembly_44;2023-04-03 08:59:29;5.0;?
e_assembly_114;2023-04-03 08:59:49;5.0;?
e_assembly_103;2023-04-03 09:00:13;5.0;?
e_assembly_32;2023-04-03 09:00:35;5.0;?
e_assembly_18;2023-04-03 09:00:59;5.0;?
e_assembly_194;2023-04-03 09:01:21;5.0;?
e_assembly_59;2023-04-03 09:01:43;5.0;?
e_assembly_77;2023-04-03 09:02:06;5.0;?
e_assembly_102;2023-04-03 09:02:29;5.0;?
e_assembly_38;2023-04-03 09:02:52;5.0;?
e_assembly_178;2023-04-03 09:03:13;5.0;?
e_assembly_144;2023-04-03 09:03:36;5.0;?
e_assembly_14;2023-04-03 09:03:58;5.0;?
e_assembly_115;2023-04-03 09:04:20;5.0;?
e_assembly_50;2023-04-03 09:04:44;5.0;?
e_assembly_108;2023-04-03 09:05:05;5.0;?
e_assembly_125;2023-04-03 09:05:28;5.0;?
e_assembly_6;2023-04-03 09:05:51;5.0;?
e_assembly_128;2023-04-03 09:06:14;5.0;?
e_assembly_9;2023-04-03 09:06:36;5.0;?
e_assembly_109;2023-04-03 09:06:58;5.0;?
e_assembly_41;2023-04-03 09:07:22;5.0;?
e_assembly_175;2023-04-03 09:07:43;5.0;?
e_assembly_104;2023-04-03 09:08:07;5.0;?
e_assembly_168;2023-04-03 09:08:30;5.0;?
e_assembly_130;2023-04-03 09:08:51;5.0;?
e_assembly_88;2023-04-03 09:09:14;5.0;?
e_assembly_163;2023-04-03 09:09:37;5.0;?
e_assembly_67;2023-04-03 09:09:58;5.0;?
e_assembly_79;2023-04-03 09:10:20;5.0;?
e_assembly_8;2023-04-03 09:10:43;5.0;?
e_assembly_40;2023-04-03 09:11:05;5.0;?
e_assembly_173;2023-04-03 09:11:28;5.0;?
e_assembly_121;2023-04-03 09:11:51;5.0;?
e_assembly_19;2023-04-03 09:12:13;5.0;?
e_assembly_134;2023-04-03 09:12:36;5.0;?
e_assembly_169;2023-04-03 09:12:57;5.0;?
e_assembly_62;2023-04-03 09:13:21;5.0;?
e_assembly_199;2023-04-03 09:13:43;5.0;?
e_assembly_1;2023-04-03 09:14:04;5.0;?
e_assembly_45;2023-04-03 09:14:28;5.0;?
e_assembly_47;2023-04-03 09:14:50;5.0;?
e_assembly_58;2023-04-03 09:15:12;5.0;?
e_assembly_183;2023-04-03 09:15:34;5.0;?
e_assembly_70;2023-04-03 09:15:57;5.0;?
e_assembly_113;2023-04-03 09:16:20;5.0;?
e_assembly_46;2023-04-03 09:16:43;5.0;?
e_assembly_154;2023-04-03 09:17:04;5.0;?
e_assembly_174;2023-04-03 09:17:28;5.0;?
e_assembly_39;2023-04-03 09:17:49;5.0;?
e_assembly_54;2023-04-03 09:18:13;5.0;?
e_assembly_140;2023-04-03 09:18:34;5.0;?
e_assembly_12;2023-04-03 09:18:57;5.0;?
e_assembly_65;2023-04-03 09:19:20;5.0;?
e_assembly_145;2023-04-03 09:19:43;5.0;?
e_assembly_20;2023-04-03 09:20:05;5.0;?
e_assembly_49;2023-04-03 09:20:27;5.0;?
e_assembly_34;2023-04-03 09:20:50;5.0;?
e_assembly_93;2023-04-03 09:21:12;5.0;?
e_assembly_28;2023-04-03 09:21:34;5.0;?
e_assembly_133;2023-04-03 09:43:02;5.0;?
e_assembly_56;2023-04-03 09:43:23;5.0;?
e_assembly_43;2023-04-03 09:44:26;5.0;?
e_assembly_86;2023-04-03 09:44:47;5.0;?
e_assembly_146;2023-04-03 09:44:57;5.0;?
e_assembly_37;2023-04-03 09:45:07;5.0;?
e_assembly_27;2023-04-03 09:45:38;5.0;?
e_assembly_30;2023-04-03 09:45:49;5.0;?
e_assembly_155;2023-04-03 09:46:20;5.0;?
e_assembly_87;2023-04-03 09:46:30;5.0;?
e_assembly_76;2023-04-03 09:47:01;5.0;?
e_assembly_11;2023-04-03 09:47:32;5.0;?
e_assembly_233;2023-04-03 09:47:43;5.0;?
e_assembly_164;2023-04-03 09:47:53;5.0;?
e_assembly_60;2023-04-03 09:48:14;5.0;?
e_assembly_393;2023-04-03 09:48:24;5.0;?
e_assembly_267;2023-04-03 09:48:35;5.0;?
e_assembly_220;2023-04-03 09:48:56;5.0;?
e_assembly_221;2023-04-03 09:49:17;5.0;?
e_assembly_157;2023-04-03 09:49:49;5.0;?
e_assembly_66;2023-04-03 09:50:10;5.0;?
e_assembly_127;2023-04-03 09:50:20;5.0;?
e_assembly_176;2023-04-03 09:50:40;5.0;?
e_assembly_33;2023-04-03 09:51:01;5.0;?
e_assembly_126;2023-04-03 09:51:43;5.0;?
e_assembly_15;2023-04-03 09:51:54;5.0;?
e_assembly_180;2023-04-03 09:52:04;5.0;?
e_assembly_251;2023-04-03 09:52:25;5.0;?
e_assembly_235;2023-04-03 09:52:46;5.0;?
