ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_compressed-air[m3]
e_checkFemale_200>true;2023-04-03 08:56:30;?;0.00058482;0.009
e_checkFemale_188>true;2023-04-03 08:56:52;?;0.00155952;0.024
e_checkFemale_189>true;2023-04-03 08:57:14;?;0.0012996;0.02
e_checkFemale_80>true;2023-04-03 08:57:36;?;0.00038988;0.006
e_checkFemale_94>true;2023-04-03 08:58:00;?;0.00149454;0.023
e_checkFemale_63>true;2023-04-03 08:58:22;?;0.00077976;0.012
e_checkFemale_17>true;2023-04-03 08:58:44;?;0.00071478;0.011
e_checkFemale_44>true;2023-04-03 08:59:08;?;0.0012996;0.02
e_checkFemale_114>true;2023-04-03 08:59:29;?;0.00155952;0.024
e_checkFemale_103>true;2023-04-03 08:59:51;?;0.0016245;0.025
e_checkFemale_32>true;2023-04-03 09:00:13;?;0.0012996;0.02
e_checkFemale_18>true;2023-04-03 09:00:37;?;0.0006498;0.01
e_checkFemale_194>true;2023-04-03 09:01:00;?;0.0019494;0.03
e_checkFemale_59>true;2023-04-03 09:01:21;?;0.00155952;0.024
e_checkFemale_77>true;2023-04-03 09:01:45;?;0.00077976;0.012
e_checkFemale_102>true;2023-04-03 09:02:08;?;0.0022743;0.035
e_checkFemale_38>true;2023-04-03 09:02:30;?;0.00123462;0.019
e_checkFemale_178>true;2023-04-03 09:02:53;?;0.00110466;0.017
e_checkFemale_144>true;2023-04-03 09:03:15;?;0.00168948;0.026
e_checkFemale_14>true;2023-04-03 09:03:37;?;0.0009747;0.015
e_checkFemale_115>true;2023-04-03 09:03:59;?;0.0022743;0.035
e_checkFemale_50>true;2023-04-03 09:04:22;?;0.00149454;0.023
e_checkFemale_108>true;2023-04-03 09:04:45;?;0.00201438;0.031
e_checkFemale_125>true;2023-04-03 09:05:07;?;0.00090972;0.014
e_checkFemale_6>true;2023-04-03 09:05:30;?;0.00103968;0.016
e_checkFemale_128>true;2023-04-03 09:05:53;?;0.00149454;0.023
e_checkFemale_9>true;2023-04-03 09:06:15;?;0.00168948;0.026
e_checkFemale_109>true;2023-04-03 09:06:36;?;0.00123462;0.019
e_checkFemale_41>true;2023-04-03 09:07:00;?;0.0016245;0.025
e_checkFemale_175>true;2023-04-03 09:07:22;?;0.00155952;0.024
e_checkFemale_104>true;2023-04-03 09:07:46;?;0.0006498;0.01
e_checkFemale_168>true;2023-04-03 09:08:08;?;0.00142956;0.022
e_checkFemale_130>true;2023-04-03 09:08:30;?;0.0006498;0.01
e_checkFemale_88>true;2023-04-03 09:08:52;?;0.00220932;0.034
e_checkFemale_163>true;2023-04-03 09:09:16;?;0.00155952;0.024
e_checkFemale_67>true;2023-04-03 09:09:37;?;0.00090972;0.014
e_checkFemale_79>true;2023-04-03 09:10:00;?;0.00045486;0.007
e_checkFemale_8>true;2023-04-03 09:10:22;?;0.00019494;0.003
e_checkFemale_40>true;2023-04-03 09:10:44;?;0.0012996;0.02
e_checkFemale_173>true;2023-04-03 09:11:07;?;0.00077976;0.012
e_checkFemale_121>true;2023-04-03 09:11:30;?;0.00155952;0.024
e_checkFemale_19>true;2023-04-03 09:11:52;?;0.00181944;0.028
e_checkFemale_134>true;2023-04-03 09:12:16;?;0.00051984;0.008
e_checkFemale_169>true;2023-04-03 09:12:36;?;0.00201438;0.031
e_checkFemale_62>true;2023-04-03 09:13:00;?;0.00168948;0.026
e_checkFemale_199>true;2023-04-03 09:13:22;?;0.00077976;0.012
e_checkFemale_1>true;2023-04-03 09:13:43;?;0.00110466;0.017
e_checkFemale_45>true;2023-04-03 09:14:07;?;0.00188442;0.029
e_checkFemale_47>true;2023-04-03 09:14:30;?;0.00038988;0.006
e_checkFemale_58>true;2023-04-03 09:14:52;?;0.00051984;0.008
e_checkFemale_183>true;2023-04-03 09:15:13;?;0.00240426;0.037
e_checkFemale_70>true;2023-04-03 09:15:36;?;0.00136458;0.021
e_checkFemale_113>true;2023-04-03 09:16:00;?;0.00045486;0.007
e_checkFemale_46>true;2023-04-03 09:16:22;?;0.00233928;0.036
e_checkFemale_154>true;2023-04-03 09:16:43;?;0.00110466;0.017
e_checkFemale_174>true;2023-04-03 09:17:07;?;0.00142956;0.022
e_checkFemale_39>true;2023-04-03 09:17:28;?;0.00175446;0.027
e_checkFemale_54>true;2023-04-03 09:17:53;?;0.00214434;0.033
e_checkFemale_140>true;2023-04-03 09:18:13;?;0.00077976;0.012
e_checkFemale_12>true;2023-04-03 09:18:36;?;0.0009747;0.015
e_checkFemale_65>true;2023-04-03 09:18:58;?;0.00168948;0.026
e_checkFemale_145>true;2023-04-03 09:19:22;?;0.00058482;0.009
e_checkFemale_20>true;2023-04-03 09:19:44;?;0.00084474;0.013
e_checkFemale_49>true;2023-04-03 09:20:05;?;0.00045486;0.007
e_checkFemale_34>true;2023-04-03 09:20:30;?;0.00051984;0.008
e_checkFemale_93>true;2023-04-03 09:20:51;?;0.00051984;0.008
e_checkFemale_28>true;2023-04-03 09:21:13;?;0.00084474;0.013
e_checkFemale_133>true;2023-04-03 09:21:36;?;0.0;0.0
e_checkFemale_56>true;2023-04-03 09:43:13;?;0.00155952;0.024
e_checkFemale_43>true;2023-04-03 09:43:23;?;0.00155952;0.024
e_checkFemale_86>true;2023-04-03 09:43:34;?;0.0012996;0.02
e_checkFemale_146>true;2023-04-03 09:43:44;?;0.00051984;0.008
e_checkFemale_37>true;2023-04-03 09:43:55;?;0.00090972;0.014
e_checkFemale_27>true;2023-04-03 09:44:05;?;0.00149454;0.023
e_checkFemale_30>true;2023-04-03 09:44:26;?;0.0009747;0.015
e_checkFemale_155>true;2023-04-03 09:45:07;?;0.00142956;0.022
e_checkFemale_87>true;2023-04-03 09:45:18;?;0.00175446;0.027
e_checkFemale_76>true;2023-04-03 09:45:49;?;0.00155952;0.024
e_checkFemale_11>true;2023-04-03 09:45:59;?;0.00045486;0.007
e_checkFemale_233>true;2023-04-03 09:46:30;?;0.00240426;0.037
e_checkFemale_164>true;2023-04-03 09:46:40;?;0.00168948;0.026
e_checkFemale_60>true;2023-04-03 09:47:01;?;0.00051984;0.008
e_checkFemale_393>true;2023-04-03 09:47:12;?;0.00071478;0.011
e_checkFemale_267>true;2023-04-03 09:47:53;?;0.0006498;0.01
e_checkFemale_220>true;2023-04-03 09:48:35;?;0.00103968;0.016
e_checkFemale_221>true;2023-04-03 09:49:07;?;0.00266418;0.041
e_checkFemale_157>true;2023-04-03 09:49:17;?;0.00168948;0.026
e_checkFemale_66>true;2023-04-03 09:49:27;?;0.0016245;0.025
e_checkFemale_127>true;2023-04-03 09:49:49;?;0.0006498;0.01
e_checkFemale_176>true;2023-04-03 09:50:30;?;0.0022743;0.035
e_checkFemale_33>true;2023-04-03 09:50:40;?;0.00142956;0.022
e_checkFemale_126>true;2023-04-03 09:51:32;?;0.00136458;0.021
e_checkFemale_15>true;2023-04-03 09:51:43;?;0.0009747;0.015
e_checkFemale_180>true;2023-04-03 09:51:54;?;0.00142956;0.022
e_checkFemale_251>true;2023-04-03 09:52:04;?;0.00279414;0.043
e_checkFemale_235>true;2023-04-03 09:52:36;?;0.00136458;0.021
e_checkFemale_147>true;2023-04-03 09:52:46;?;0.00110466;0.017
e_checkFemale_359>true;2023-04-03 09:52:57;?;0.00214434;0.033
e_checkFemale_358>true;2023-04-03 09:53:29;?;0.00155952;0.024
e_checkFemale_7>true;2023-04-03 09:53:39;?;0.0006498;0.01
e_checkFemale_231>true;2023-04-03 09:54:00;?;0.0009747;0.015
e_checkFemale_184>true;2023-04-03 09:54:11;?;0.00136458;0.021
e_checkFemale_386>true;2023-04-03 09:54:32;?;0.00025992;0.004
e_checkFemale_193>true;2023-04-03 09:55:03;?;0.00207936;0.032
e_checkFemale_71>true;2023-04-03 09:55:14;?;0.00175446;0.027
e_checkFemale_228>true;2023-04-03 09:56:07;?;0.00110466;0.017
e_checkFemale_22>true;2023-04-03 09:56:17;?;0.00090972;0.014
e_checkFemale_204>true;2023-04-03 09:56:28;?;0.00201438;0.031
e_checkFemale_264>true;2023-04-03 09:56:59;?;0.0003249;0.005
e_checkFemale_341>true;2023-04-03 09:57:10;?;0.00071478;0.011
e_checkFemale_139>true;2023-04-03 09:57:42;?;0.00123462;0.019
e_checkFemale_226>true;2023-04-03 09:57:52;?;0.00045486;0.007
e_checkFemale_286>true;2023-04-03 09:58:24;?;0.00168948;0.026
e_checkFemale_384>true;2023-04-03 09:58:35;?;0.00266418;0.041
e_checkFemale_335>true;2023-04-03 09:58:46;?;0.00220932;0.034
e_checkFemale_263>true;2023-04-03 09:59:17;?;0.00038988;0.006
e_checkFemale_311>true;2023-04-03 09:59:38;?;0.00116964;0.018
e_checkFemale_310>true;2023-04-03 09:59:49;?;0.00116964;0.018
e_checkFemale_307>true;2023-04-03 10:00:09;?;0.00012996;0.002
e_checkFemale_318>true;2023-04-03 10:01:02;?;0.00116964;0.018
e_checkFemale_383>true;2023-04-03 10:01:12;?;0.0016245;0.025
e_checkFemale_401>true;2023-04-03 10:01:23;?;6.498E~05;0.001
e_checkFemale_333>true;2023-04-03 10:02:04;?;0.0009747;0.015
e_checkFemale_289>true;2023-04-03 10:02:56;?;0.00077976;0.012
e_checkFemale_308>true;2023-04-03 10:03:07;?;0.00188442;0.029
e_checkFemale_237>true;2023-04-03 10:03:50;?;0.00084474;0.013
e_checkFemale_360>true;2023-04-03 10:04:00;?;0.00168948;0.026
e_checkFemale_372>true;2023-04-03 10:04:11;?;0.00116964;0.018
e_checkFemale_217>true;2023-04-03 10:04:21;?;0.00084474;0.013
e_checkFemale_342>true;2023-04-03 10:04:52;?;0.00058482;0.009
e_checkFemale_239>true;2023-04-03 10:05:03;?;0.00025992;0.004
e_checkFemale_346>true;2023-04-03 10:05:24;?;0.00188442;0.029
e_checkFemale_245>true;2023-04-03 10:05:35;?;0.00233928;0.036
e_checkFemale_271>true;2023-04-03 10:05:55;?;0.0006498;0.01
e_checkFemale_332>true;2023-04-03 10:06:05;?;0.0016245;0.025
e_checkFemale_208>true;2023-04-03 10:06:16;?;0.00103968;0.016
e_checkFemale_55>true;2023-04-03 10:06:47;?;0.0019494;0.03
e_checkFemale_159>true;2023-04-03 10:06:57;?;0.00058482;0.009
e_checkFemale_203>true;2023-04-03 10:07:08;?;0.0009747;0.015
e_checkFemale_338>true;2023-04-03 10:07:40;?;0.0003249;0.005
e_checkFemale_368>true;2023-04-03 10:08:01;?;0.00084474;0.013
e_checkFemale_85>true;2023-04-03 10:08:11;?;0.00058482;0.009
e_checkFemale_397>true;2023-04-03 10:08:42;?;0.00136458;0.021
e_checkFemale_325>true;2023-04-03 10:09:03;?;0.00214434;0.033
e_checkFemale_398>true;2023-04-03 10:09:14;?;0.00142956;0.022
e_checkFemale_387>true;2023-04-03 10:09:24;?;0.00246924;0.038
