ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_compressed-air[m3]
e_checkMale_81>true;2023-04-03 08:56:40;?;0.00175446;0.027
e_checkMale_72>true;2023-04-03 08:57:02;?;0.00103968;0.016
e_checkMale_21>true;2023-04-03 08:57:24;?;0.00149454;0.023
e_checkMale_131>true;2023-04-03 08:57:47;?;0.00240426;0.037
e_checkMale_53>true;2023-04-03 08:58:10;?;0.00019494;0.003
e_checkMale_31>true;2023-04-03 08:58:32;?;0.00201438;0.031
e_checkMale_186>true;2023-04-03 08:58:54;?;0.00103968;0.016
e_checkMale_132>true;2023-04-03 08:59:18;?;0.00084474;0.013
e_checkMale_151>true;2023-04-03 08:59:39;?;0.00051984;0.008
e_checkMale_201>true;2023-04-03 09:00:02;?;0.0003249;0.005
e_checkMale_192>true;2023-04-03 09:00:24;?;0.0016245;0.025
e_checkMale_51>true;2023-04-03 09:00:48;?;6.498E~05;0.001
e_checkMale_57>true;2023-04-03 09:01:11;?;0.00123462;0.019
e_checkMale_48>true;2023-04-03 09:01:32;?;0.00058482;0.009
e_checkMale_198>true;2023-04-03 09:01:55;?;0.0012996;0.02
e_checkMale_10>true;2023-04-03 09:02:18;?;0.00136458;0.021
e_checkMale_191>true;2023-04-03 09:02:41;?;0.00201438;0.031
e_checkMale_68>true;2023-04-03 09:03:03;?;0.00214434;0.033
e_checkMale_95>true;2023-04-03 09:03:26;?;0.0006498;0.01
e_checkMale_26>true;2023-04-03 09:03:48;?;0.0019494;0.03
e_checkMale_98>true;2023-04-03 09:04:10;?;0.00220932;0.034
e_checkMale_129>true;2023-04-03 09:04:33;?;0.00214434;0.033
e_checkMale_137>true;2023-04-03 09:04:55;?;0.00136458;0.021
e_checkMale_150>true;2023-04-03 09:05:18;?;0.00207936;0.032
e_checkMale_122>true;2023-04-03 09:05:41;?;0.00025992;0.004
e_checkMale_2>true;2023-04-03 09:06:04;?;0.00142956;0.022
e_checkMale_153>true;2023-04-03 09:06:25;?;0.00110466;0.017
e_checkMale_181>true;2023-04-03 09:06:48;?;0.00136458;0.021
e_checkMale_5>true;2023-04-03 09:07:11;?;0.00175446;0.027
e_checkMale_160>true;2023-04-03 09:07:33;?;0.00045486;0.007
e_checkMale_148>true;2023-04-03 09:07:56;?;0.0016245;0.025
e_checkMale_124>true;2023-04-03 09:08:19;?;0.00201438;0.031
e_checkMale_161>true;2023-04-03 09:08:40;?;0.0012996;0.02
e_checkMale_82>true;2023-04-03 09:09:03;?;0.00155952;0.024
e_checkMale_117>true;2023-04-03 09:09:27;?;0.00110466;0.017
e_checkMale_185>true;2023-04-03 09:09:48;?;0.00136458;0.021
e_checkMale_29>true;2023-04-03 09:10:10;?;0.00077976;0.012
e_checkMale_105>true;2023-04-03 09:10:33;?;0.00038988;0.006
e_checkMale_83>true;2023-04-03 09:10:55;?;0.00214434;0.033
e_checkMale_75>true;2023-04-03 09:11:17;?;0.0016245;0.025
e_checkMale_165>true;2023-04-03 09:11:41;?;0.00045486;0.007
e_checkMale_106>true;2023-04-03 09:12:03;?;0.00123462;0.019
e_checkMale_96>true;2023-04-03 09:12:26;?;0.00168948;0.026
e_checkMale_156>true;2023-04-03 09:12:47;?;0.00077976;0.012
e_checkMale_90>true;2023-04-03 09:13:10;?;0.0016245;0.025
e_checkMale_119>true;2023-04-03 09:13:33;?;0.0016245;0.025
e_checkMale_116>true;2023-04-03 09:13:54;?;0.00175446;0.027
e_checkMale_179>true;2023-04-03 09:14:18;?;0.00142956;0.022
e_checkMale_36>true;2023-04-03 09:14:40;?;0.00155952;0.024
e_checkMale_24>true;2023-04-03 09:15:02;?;0.00116964;0.018
e_checkMale_23>true;2023-04-03 09:15:23;?;0.00149454;0.023
e_checkMale_120>true;2023-04-03 09:15:46;?;0.00116964;0.018
e_checkMale_143>true;2023-04-03 09:16:10;?;6.498E~05;0.001
e_checkMale_118>true;2023-04-03 09:16:32;?;0.00175446;0.027
e_checkMale_162>true;2023-04-03 09:16:54;?;0.00149454;0.023
e_checkMale_99>true;2023-04-03 09:17:17;?;0.00168948;0.026
e_checkMale_182>true;2023-04-03 09:17:39;?;6.498E~05;0.001
e_checkMale_97>true;2023-04-03 09:18:03;?;0.00168948;0.026
e_checkMale_196>true;2023-04-03 09:18:24;?;0.0003249;0.005
e_checkMale_89>true;2023-04-03 09:18:46;?;0.00175446;0.027
e_checkMale_42>true;2023-04-03 09:19:09;?;0.00188442;0.029
e_checkMale_78>true;2023-04-03 09:19:32;?;0.00136458;0.021
e_checkMale_100>true;2023-04-03 09:19:55;?;0.0003249;0.005
e_checkMale_101>true;2023-04-03 09:20:16;?;0.00246924;0.038
e_checkMale_64>true;2023-04-03 09:20:40;?;0.0019494;0.03
e_checkMale_149>true;2023-04-03 09:21:02;?;0.0016245;0.025
e_checkMale_92>true;2023-04-03 09:21:24;?;0.00136458;0.021
e_checkMale_74>true;2023-04-03 09:42:52;?;0.00071478;0.011
e_checkMale_158>true;2023-04-03 09:43:02;?;0.00038988;0.006
e_checkMale_195>true;2023-04-03 09:44:16;?;0.00136458;0.021
e_checkMale_177>true;2023-04-03 09:44:36;?;0.00116964;0.018
e_checkMale_172>true;2023-04-03 09:44:47;?;0.00214434;0.033
e_checkMale_167>true;2023-04-03 09:44:57;?;0.00123462;0.019
e_checkMale_73>true;2023-04-03 09:45:28;?;0.00214434;0.033
e_checkMale_278>true;2023-04-03 09:45:38;?;0.00155952;0.024
e_checkMale_16>true;2023-04-03 09:46:09;?;0.00110466;0.017
e_checkMale_141>true;2023-04-03 09:46:20;?;0.00149454;0.023
e_checkMale_135>true;2023-04-03 09:46:51;?;0.00220932;0.034
e_checkMale_303>true;2023-04-03 09:47:22;?;0.0019494;0.03
e_checkMale_400>true;2023-04-03 09:47:32;?;0.00045486;0.007
e_checkMale_190>true;2023-04-03 09:47:43;?;0.00110466;0.017
e_checkMale_378>true;2023-04-03 09:48:03;?;0.0003249;0.005
e_checkMale_111>true;2023-04-03 09:48:14;?;0.00181944;0.028
e_checkMale_142>true;2023-04-03 09:48:24;?;0.0022743;0.035
e_checkMale_152>true;2023-04-03 09:48:46;?;0.00077976;0.012
e_checkMale_136>true;2023-04-03 09:48:56;?;0.0012996;0.02
e_checkMale_170>true;2023-04-03 09:49:38;?;0.00090972;0.014
e_checkMale_395>true;2023-04-03 09:49:59;?;0.00123462;0.019
e_checkMale_110>true;2023-04-03 09:50:10;?;0.00188442;0.029
e_checkMale_330>true;2023-04-03 09:50:20;?;0.00214434;0.033
e_checkMale_61>true;2023-04-03 09:50:51;?;0.00045486;0.007
e_checkMale_382>true;2023-04-03 09:51:01;?;0.00149454;0.023
e_checkMale_138>true;2023-04-03 09:51:12;?;0.00214434;0.033
e_checkMale_352>true;2023-04-03 09:51:22;?;0.00136458;0.021
e_checkMale_91>true;2023-04-03 09:52:15;?;0.00142956;0.022
e_checkMale_344>true;2023-04-03 09:52:25;?;0.0025992;0.04
e_checkMale_268>true;2023-04-03 09:53:08;?;0.00214434;0.033
e_checkMale_84>true;2023-04-03 09:53:19;?;0.0006498;0.01
e_checkMale_326>true;2023-04-03 09:53:50;?;6.498E~05;0.001
e_checkMale_253>true;2023-04-03 09:54:21;?;0.00188442;0.029
e_checkMale_211>true;2023-04-03 09:54:42;?;0.00168948;0.026
e_checkMale_123>true;2023-04-03 09:54:53;?;6.498E~05;0.001
e_checkMale_301>true;2023-04-03 09:55:24;?;0.0;0.0
e_checkMale_285>true;2023-04-03 09:55:35;?;0.00103968;0.016
e_checkMale_366>true;2023-04-03 09:55:45;?;0.00103968;0.016
e_checkMale_276>true;2023-04-03 09:55:56;?;0.00116964;0.018
e_checkMale_3>true;2023-04-03 09:56:38;?;0.00090972;0.014
e_checkMale_304>true;2023-04-03 09:56:49;?;0.00123462;0.019
e_checkMale_243>true;2023-04-03 09:57:20;?;0.0009747;0.015
e_checkMale_354>true;2023-04-03 09:57:31;?;0.0016245;0.025
e_checkMale_300>true;2023-04-03 09:58:03;?;0.00175446;0.027
e_checkMale_282>true;2023-04-03 09:58:14;?;0.00155952;0.024
e_checkMale_69>true;2023-04-03 09:58:56;?;0.00201438;0.031
e_checkMale_292>true;2023-04-03 09:59:06;?;0.0019494;0.03
e_checkMale_362>true;2023-04-03 09:59:27;?;0.00181944;0.028
e_checkMale_345>true;2023-04-03 09:59:59;?;0.00090972;0.014
e_checkMale_171>true;2023-04-03 10:00:20;?;0.00058482;0.009
e_checkMale_4>true;2023-04-03 10:00:31;?;0.00214434;0.033
e_checkMale_249>true;2023-04-03 10:00:41;?;0.00168948;0.026
e_checkMale_112>true;2023-04-03 10:00:51;?;0.00058482;0.009
e_checkMale_367>true;2023-04-03 10:01:33;?;0.00240426;0.037
e_checkMale_279>true;2023-04-03 10:01:44;?;0.00103968;0.016
e_checkMale_166>true;2023-04-03 10:01:54;?;0.00142956;0.022
e_checkMale_373>true;2023-04-03 10:02:15;?;0.00103968;0.016
e_checkMale_390>true;2023-04-03 10:02:26;?;0.0016245;0.025
e_checkMale_107>true;2023-04-03 10:02:36;?;0.00220932;0.034
e_checkMale_290>true;2023-04-03 10:02:46;?;0.00136458;0.021
e_checkMale_293>true;2023-04-03 10:03:18;?;0.00181944;0.028
e_checkMale_336>true;2023-04-03 10:03:28;?;0.0012996;0.02
e_checkMale_212>true;2023-04-03 10:03:39;?;0.00220932;0.034
e_checkMale_351>true;2023-04-03 10:04:31;?;0.00188442;0.029
e_checkMale_296>true;2023-04-03 10:04:42;?;0.00116964;0.018
e_checkMale_376>true;2023-04-03 10:05:14;?;0.00045486;0.007
e_checkMale_202>true;2023-04-03 10:05:45;?;0.00214434;0.033
e_checkMale_206>true;2023-04-03 10:06:26;?;0.00019494;0.003
e_checkMale_319>true;2023-04-03 10:06:36;?;0.00220932;0.034
e_checkMale_363>true;2023-04-03 10:07:18;?;0.0;0.0
e_checkMale_247>true;2023-04-03 10:07:29;?;0.00077976;0.012
e_checkMale_205>true;2023-04-03 10:07:50;?;0.00051984;0.008
e_checkMale_209>true;2023-04-03 10:08:22;?;0.00116964;0.018
e_checkMale_361>true;2023-04-03 10:08:32;?;0.00168948;0.026
e_checkMale_52>true;2023-04-03 10:08:53;?;0.00071478;0.011
e_checkMale_265>true;2023-04-03 10:30:33;?;0.00038988;0.006
e_checkMale_337>true;2023-04-03 10:30:43;?;0.00103968;0.016
e_checkMale_222>true;2023-04-03 10:31:04;?;0.00025992;0.004
e_checkMale_299>true;2023-04-03 10:32:27;?;0.00233928;0.036
e_checkMale_255>true;2023-04-03 10:32:38;?;0.00233928;0.036
e_checkMale_35>true;2023-04-03 10:32:59;?;0.0022743;0.035
e_checkMale_213>true;2023-04-03 10:33:10;?;0.00051984;0.008
e_checkMale_364>true;2023-04-03 10:33:31;?;0.00058482;0.009
e_checkMale_280>true;2023-04-03 10:34:24;?;0.00110466;0.017
e_checkMale_374>true;2023-04-03 10:34:34;?;0.00038988;0.006
e_checkMale_328>true;2023-04-03 10:35:05;?;0.00233928;0.036
e_checkMale_385>true;2023-04-03 10:36:09;?;0.00071478;0.011
e_checkMale_227>true;2023-04-03 10:36:19;?;0.00019494;0.003
e_checkMale_453>true;2023-04-03 10:36:41;?;0.0012996;0.02
e_checkMale_25>true;2023-04-03 10:36:51;?;0.00051984;0.008
e_checkMale_347>true;2023-04-03 10:37:12;?;0.00103968;0.016
e_checkMale_288>true;2023-04-03 10:37:43;?;0.0012996;0.02
e_checkMale_273>true;2023-04-03 10:37:54;?;0.00181944;0.028
e_checkMale_305>true;2023-04-03 10:38:46;?;0.00051984;0.008
e_checkMale_272>true;2023-04-03 10:39:07;?;0.0009747;0.015
e_checkMale_241>true;2023-04-03 10:39:28;?;0.00090972;0.014
e_checkMale_350>true;2023-04-03 10:40:21;?;0.00071478;0.011
e_checkMale_375>true;2023-04-03 10:40:52;?;0.00220932;0.034
e_checkMale_210>true;2023-04-03 10:41:02;?;0.00116964;0.018
e_checkMale_428>true;2023-04-03 10:41:43;?;0.00038988;0.006
e_checkMale_489>true;2023-04-03 10:42:36;?;0.00090972;0.014
e_checkMale_490>true;2023-04-03 10:43:27;?;0.00188442;0.029
e_checkMale_274>true;2023-04-03 10:43:48;?;0.0006498;0.01
e_checkMale_405>true;2023-04-03 10:44:09;?;0.00207936;0.032
e_checkMale_258>true;2023-04-03 10:44:20;?;0.00116964;0.018
e_checkMale_13>true;2023-04-03 10:44:30;?;0.0012996;0.02
e_checkMale_426>true;2023-04-03 10:44:40;?;0.0006498;0.01
e_checkMale_526>true;2023-04-03 10:44:51;?;0.0009747;0.015
e_checkMale_545>true;2023-04-03 10:45:01;?;0.00207936;0.032
e_checkMale_578>true;2023-04-03 10:45:11;?;0.0019494;0.03
e_checkMale_392>true;2023-04-03 10:46:04;?;0.0019494;0.03
e_checkMale_312>true;2023-04-03 10:46:15;?;0.00012996;0.002
e_checkMale_281>true;2023-04-03 10:46:25;?;0.0012996;0.02
e_checkMale_322>true;2023-04-03 10:46:35;?;0.0016245;0.025
e_checkMale_507>true;2023-04-03 10:46:56;?;0.00090972;0.014
e_checkMale_444>true;2023-04-03 10:47:48;?;0.00071478;0.011
e_checkMale_269>true;2023-04-03 10:48:09;?;0.00110466;0.017
e_checkMale_460>true;2023-04-03 10:48:41;?;0.00058482;0.009
