ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_coating-material[kg];i_coating-material-waste[kg]
e_coat_1;2023-04-03 07:56:00;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_5;2023-04-03 07:56:25;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_4;2023-04-03 07:56:36;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_6;2023-04-03 07:56:36;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_8;2023-04-03 07:56:37;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_3;2023-04-03 07:57:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_2;2023-04-03 07:57:06;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_7;2023-04-03 07:57:08;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_10;2023-04-03 07:57:14;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_16;2023-04-03 07:57:18;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_9;2023-04-03 07:57:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_14;2023-04-03 07:57:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_15;2023-04-03 07:57:40;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_18;2023-04-03 07:57:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_11;2023-04-03 07:58:05;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_13;2023-04-03 07:58:07;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_12;2023-04-03 07:58:20;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_19;2023-04-03 07:58:28;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_21;2023-04-03 07:58:30;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_25;2023-04-03 07:58:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_23;2023-04-03 07:58:44;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_24;2023-04-03 07:58:45;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_20;2023-04-03 07:58:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_22;2023-04-03 07:58:56;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_17;2023-04-03 07:59:07;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_27;2023-04-03 07:59:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_29;2023-04-03 07:59:25;300.0;0.1751156951;0.25;0.0004;0.0001
