ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_compressed-air[m3];i_gas-n2-used[m3];i_gas-n2-emiited-to-air[m3];i_steel-waste[kg]
e_formfemale_200;2023-04-03 08:55:48;12.5997170567;0.0942006241778;0.0192496;0.097;0.077;0.077;0.00252
e_formfemale_188;2023-04-03 08:56:11;12.4582406506;0.0843247478222;0.0190334;0.074;0.076;0.076;0.00253
e_formfemale_189;2023-04-03 08:56:33;12.3936690553;0.0794624654222;0.0189348;0.062;0.076;0.076;0.00253
e_formfemale_80;2023-04-03 08:56:56;12.3281947602;0.0872242814667;0.0188347;0.087;0.075;0.075;0.00254
e_formfemale_94;2023-04-03 08:57:18;12.5833664207;0.0837388441778;0.0192246;0.07;0.077;0.077;0.00252
e_formfemale_63;2023-04-03 08:57:41;12.6865858262;0.0946691065333;0.0193823;0.102;0.078;0.078;0.00254
e_formfemale_17;2023-04-03 08:58:03;12.4927649414;0.0912145430222;0.0190862;0.092;0.076;0.076;0.00251
e_formfemale_44;2023-04-03 08:58:26;12.460221879;0.0885334682222;0.0190365;0.091;0.076;0.076;0.00255
e_formfemale_114;2023-04-03 08:58:48;12.5985197849;0.0873935245778;0.0192477;0.084;0.077;0.077;0.00252
e_formfemale_103;2023-04-03 08:59:11;12.5436637219;0.0761322853778;0.0191639;0.056;0.077;0.077;0.0025
e_formfemale_32;2023-04-03 08:59:33;12.5149140681;0.0941446622222;0.01912;0.092;0.076;0.076;0.00252
e_formfemale_18;2023-04-03 08:59:56;12.5105718156;0.0824300678222;0.0191134;0.07;0.076;0.076;0.00253
e_formfemale_194;2023-04-03 09:00:18;12.5438576056;0.0918097705778;0.0191642;0.087;0.077;0.077;0.00255
e_formfemale_59;2023-04-03 09:00:41;12.4109622797;0.0827568830222;0.0189612;0.071;0.076;0.076;0.00254
e_formfemale_77;2023-04-03 09:01:04;12.5275630893;0.0853084189778;0.0191393;0.072;0.077;0.077;0.00252
e_formfemale_102;2023-04-03 09:01:26;12.3608364311;0.0836415686222;0.0188846;0.074;0.076;0.076;0.00253
e_formfemale_38;2023-04-03 09:01:49;12.4479433041;0.0832127690222;0.0190177;0.071;0.076;0.076;0.00255
e_formfemale_178;2023-04-03 09:02:11;12.5776584024;0.0852445333778;0.0192159;0.078;0.077;0.077;0.00254
