ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh]
e_form_1;2023-04-03 07:55:25;5.0;0.0028500228;0.0041667
e_form_5;2023-04-03 07:55:50;5.0;0.0028500228;0.0041667
e_form_4;2023-04-03 07:56:01;5.0;0.0028500228;0.0041667
e_form_6;2023-04-03 07:56:01;5.0;0.0028500228;0.0041667
e_form_8;2023-04-03 07:56:02;5.0;0.0028500228;0.0041667
e_form_3;2023-04-03 07:56:26;5.0;0.0028500228;0.0041667
e_form_2;2023-04-03 07:56:32;5.0;0.0028500228;0.0041667
e_form_7;2023-04-03 07:56:33;5.0;0.0028500228;0.0041667
e_form_10;2023-04-03 07:56:38;5.0;0.0028500228;0.0041667
e_form_16;2023-04-03 07:56:43;5.0;0.0028500228;0.0041667
e_form_9;2023-04-03 07:56:57;5.0;0.0028500228;0.0041667
e_form_14;2023-04-03 07:57:03;5.0;0.0028500228;0.0041667
e_form_15;2023-04-03 07:57:05;5.0;0.0028500228;0.0041667
e_form_18;2023-04-03 07:57:14;5.0;0.0028500228;0.0041667
e_form_11;2023-04-03 07:57:30;5.0;0.0028500228;0.0041667
e_form_13;2023-04-03 07:57:32;5.0;0.0028500228;0.0041667
e_form_12;2023-04-03 07:57:45;5.0;0.0028500228;0.0041667
e_form_19;2023-04-03 07:57:53;5.0;0.0028500228;0.0041667
e_form_21;2023-04-03 07:57:55;5.0;0.0028500228;0.0041667
e_form_25;2023-04-03 07:57:56;5.0;0.0028500228;0.0041667
e_form_23;2023-04-03 07:58:09;5.0;0.0028500228;0.0041667
e_form_24;2023-04-03 07:58:10;5.0;0.0028500228;0.0041667
e_form_20;2023-04-03 07:58:15;5.0;0.0028500228;0.0041667
e_form_22;2023-04-03 07:58:21;5.0;0.0028500228;0.0041667
e_form_17;2023-04-03 07:58:32;5.0;0.0028500228;0.0041667
e_form_27;2023-04-03 07:58:47;5.0;0.0028500228;0.0041667
e_form_29;2023-04-03 07:58:50;5.0;0.0028500228;0.0041667
e_form_30;2023-04-03 07:58:53;5.0;0.0028500228;0.0041667
e_form_31;2023-04-03 07:59:08;5.0;0.0028500228;0.0041667
e_form_33;2023-04-03 07:59:11;5.0;0.0028500228;0.0041667
e_form_28;2023-04-03 07:59:12;5.0;0.0028500228;0.0041667
e_form_34;2023-04-03 07:59:12;5.0;0.0028500228;0.0041667
e_form_36;2023-04-03 07:59:14;5.0;0.0028500228;0.0041667
e_form_32;2023-04-03 07:59:14;5.0;0.0028500228;0.0041667
e_form_26;2023-04-03 07:59:17;5.0;0.0028500228;0.0041667
e_form_38;2023-04-03 07:59:26;5.0;0.0028500228;0.0041667
e_form_35;2023-04-03 07:59:35;5.0;0.0028500228;0.0041667
e_form_41;2023-04-03 07:59:44;5.0;0.0028500228;0.0041667
e_form_37;2023-04-03 07:59:46;5.0;0.0028500228;0.0041667
e_form_39;2023-04-03 07:59:52;5.0;0.0028500228;0.0041667
e_form_42;2023-04-03 07:59:57;5.0;0.0028500228;0.0041667
e_form_45;2023-04-03 08:00:13;5.0;0.0028500228;0.0041667
e_form_43;2023-04-03 08:00:32;5.0;0.0028500228;0.0041667
e_form_40;2023-04-03 08:00:33;5.0;0.0028500228;0.0041667
e_form_46;2023-04-03 08:00:59;5.0;0.0028500228;0.0041667
e_form_49;2023-04-03 08:00:59;5.0;0.0028500228;0.0041667
e_form_48;2023-04-03 08:01:02;5.0;0.0028500228;0.0041667
e_form_44;2023-04-03 08:01:04;5.0;0.0028500228;0.0041667
e_form_54;2023-04-03 08:01:06;5.0;0.0028500228;0.0041667
e_form_47;2023-04-03 08:01:22;5.0;0.0028500228;0.0041667
e_form_51;2023-04-03 08:01:24;5.0;0.0028500228;0.0041667
e_form_52;2023-04-03 08:01:26;5.0;0.0028500228;0.0041667
e_form_50;2023-04-03 08:01:29;5.0;0.0028500228;0.0041667
e_form_53;2023-04-03 08:01:33;5.0;0.0028500228;0.0041667
e_form_55;2023-04-03 08:01:48;5.0;0.0028500228;0.0041667
e_form_57;2023-04-03 08:01:58;5.0;0.0028500228;0.0041667
e_form_61;2023-04-03 08:02:06;5.0;0.0028500228;0.0041667
e_form_59;2023-04-03 08:02:20;5.0;0.0028500228;0.0041667
e_form_58;2023-04-03 08:02:34;5.0;0.0028500228;0.0041667
e_form_66;2023-04-03 08:02:51;5.0;0.0028500228;0.0041667
e_form_64;2023-04-03 08:02:54;5.0;0.0028500228;0.0041667
e_form_62;2023-04-03 08:02:56;5.0;0.0028500228;0.0041667
e_form_56;2023-04-03 08:03:00;5.0;0.0028500228;0.0041667
e_form_60;2023-04-03 08:03:05;5.0;0.0028500228;0.0041667
e_form_65;2023-04-03 08:03:08;5.0;0.0028500228;0.0041667
e_form_72;2023-04-03 08:03:08;5.0;0.0028500228;0.0041667
e_form_63;2023-04-03 08:03:20;5.0;0.0028500228;0.0041667
e_form_70;2023-04-03 08:03:30;5.0;0.0028500228;0.0041667
e_form_68;2023-04-03 08:03:39;5.0;0.0028500228;0.0041667
e_form_69;2023-04-03 08:03:51;5.0;0.0028500228;0.0041667
e_form_73;2023-04-03 08:03:52;5.0;0.0028500228;0.0041667
e_form_67;2023-04-03 08:03:59;5.0;0.0028500228;0.0041667
e_form_71;2023-04-03 08:04:01;5.0;0.0028500228;0.0041667
e_form_78;2023-04-03 08:04:05;5.0;0.0028500228;0.0041667
e_form_74;2023-04-03 08:04:06;5.0;0.0028500228;0.0041667
e_form_77;2023-04-03 08:04:07;5.0;0.0028500228;0.0041667
e_form_75;2023-04-03 08:04:09;5.0;0.0028500228;0.0041667
e_form_76;2023-04-03 08:04:16;5.0;0.0028500228;0.0041667
e_form_80;2023-04-03 08:04:28;5.0;0.0028500228;0.0041667
e_form_81;2023-04-03 08:04:38;5.0;0.0028500228;0.0041667
e_form_85;2023-04-03 08:04:48;5.0;0.0028500228;0.0041667
e_form_82;2023-04-03 08:05:01;5.0;0.0028500228;0.0041667
e_form_79;2023-04-03 08:05:05;5.0;0.0028500228;0.0041667
e_form_83;2023-04-03 08:05:14;5.0;0.0028500228;0.0041667
e_form_84;2023-04-03 08:05:17;5.0;0.0028500228;0.0041667
