ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_gas_input[Wh];i_emission-of-burn[Wh]
e_heat_1;2023-04-03 07:39:42;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_2;2023-04-03 07:39:52;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_3;2023-04-03 07:39:58;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_4;2023-04-03 07:40:00;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_5;2023-04-03 07:40:10;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_6;2023-04-03 07:40:15;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_7;2023-04-03 07:40:25;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_8;2023-04-03 07:40:30;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_9;2023-04-03 07:40:34;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_10;2023-04-03 07:40:45;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_11;2023-04-03 07:40:50;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_12;2023-04-03 07:40:57;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_13;2023-04-03 07:41:02;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_14;2023-04-03 07:41:12;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_15;2023-04-03 07:41:15;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_16;2023-04-03 07:41:22;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_17;2023-04-03 07:41:29;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_18;2023-04-03 07:41:37;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_19;2023-04-03 07:41:45;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_20;2023-04-03 07:41:49;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_21;2023-04-03 07:41:57;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_22;2023-04-03 07:42:05;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_23;2023-04-03 07:42:10;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_24;2023-04-03 07:42:18;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_25;2023-04-03 07:42:23;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_26;2023-04-03 07:42:31;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_27;2023-04-03 07:42:35;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_28;2023-04-03 07:42:42;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_29;2023-04-03 07:42:49;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_30;2023-04-03 07:42:56;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_31;2023-04-03 07:43:03;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_32;2023-04-03 07:43:11;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_33;2023-04-03 07:43:14;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_34;2023-04-03 07:43:23;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_35;2023-04-03 07:43:30;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_36;2023-04-03 07:43:36;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_37;2023-04-03 07:43:42;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_38;2023-04-03 07:43:50;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_39;2023-04-03 07:43:57;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_40;2023-04-03 07:44:05;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_41;2023-04-03 07:44:09;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_42;2023-04-03 07:44:14;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_43;2023-04-03 07:44:23;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_44;2023-04-03 07:44:28;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_45;2023-04-03 07:44:38;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_46;2023-04-03 07:44:45;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_47;2023-04-03 07:44:50;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_48;2023-04-03 07:44:55;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_49;2023-04-03 07:45:02;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_50;2023-04-03 07:45:09;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_51;2023-04-03 07:45:16;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_52;2023-04-03 07:45:23;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_53;2023-04-03 07:45:30;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_54;2023-04-03 07:45:41;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_55;2023-04-03 07:45:45;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_56;2023-04-03 07:45:52;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_57;2023-04-03 07:45:57;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_58;2023-04-03 07:46:06;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_59;2023-04-03 07:46:09;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_60;2023-04-03 07:46:17;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_61;2023-04-03 07:46:22;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_62;2023-04-03 07:46:31;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_63;2023-04-03 07:46:38;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_64;2023-04-03 07:46:45;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_65;2023-04-03 07:46:54;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_66;2023-04-03 07:46:56;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_67;2023-04-03 07:47:05;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_68;2023-04-03 07:47:12;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_69;2023-04-03 07:47:18;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_70;2023-04-03 07:47:25;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_71;2023-04-03 07:47:28;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_72;2023-04-03 07:47:38;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_73;2023-04-03 07:47:41;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_74;2023-04-03 07:47:50;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_75;2023-04-03 07:47:57;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_76;2023-04-03 07:48:04;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_77;2023-04-03 07:48:09;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_78;2023-04-03 07:48:18;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_79;2023-04-03 07:48:23;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_80;2023-04-03 07:48:34;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_81;2023-04-03 07:48:37;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_82;2023-04-03 07:48:41;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_83;2023-04-03 07:48:49;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_84;2023-04-03 07:48:57;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_85;2023-04-03 07:49:06;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_86;2023-04-03 07:49:12;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_87;2023-04-03 07:49:19;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_88;2023-04-03 07:49:22;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_89;2023-04-03 07:49:32;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_90;2023-04-03 07:49:36;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_91;2023-04-03 07:49:43;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_92;2023-04-03 07:49:51;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_93;2023-04-03 07:49:58;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_94;2023-04-03 07:50:07;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_95;2023-04-03 07:50:11;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_96;2023-04-03 07:50:16;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_97;2023-04-03 07:50:22;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_98;2023-04-03 07:50:29;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_99;2023-04-03 07:50:39;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_100;2023-04-03 07:50:46;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_101;2023-04-03 07:50:50;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_102;2023-04-03 07:50:58;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_103;2023-04-03 07:51:06;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_104;2023-04-03 07:51:12;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_105;2023-04-03 07:51:15;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_106;2023-04-03 07:51:26;900.0;0.0138019093344;0.02;0.49392;0.49392
e_heat_107;2023-04-03 07:51:30;900.0;0.0138019093344;0.02;0.49392;0.49392
