ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_cardboard-box[kg]
e_packhinges_1;2023-04-03 09:00:19;29.7828923354;0.03593;0.05
e_packhinges_2;2023-04-03 09:04:04;30.1490108582;0.03593;0.05
e_packhinges_3;2023-04-03 09:07:49;30.1063594368;0.03593;0.05
e_packhinges_4;2023-04-03 09:11:34;30.043315521;0.03593;0.05
e_packhinges_5;2023-04-03 09:15:18;29.7362356424;0.03593;0.05
e_packhinges_6;2023-04-03 09:19:03;29.8957587213;0.03593;0.05
e_packhinges_7;2023-04-03 09:44:32;29.9258494389;0.03593;0.05
e_packhinges_8;2023-04-03 09:47:49;30.1037037726;0.03593;0.05
e_packhinges_9;2023-04-03 09:50:46;29.9872440269;0.03593;0.05
e_packhinges_10;2023-04-03 09:54:38;29.8090125991;0.03593;0.05
e_packhinges_11;2023-04-03 09:57:48;30.0220559954;0.03593;0.05
e_packhinges_12;2023-04-03 10:01:18;30.2802594135;0.03593;0.05
e_packhinges_13;2023-04-03 10:05:09;29.7260046698;0.03593;0.05
e_packhinges_14;2023-04-03 10:08:38;29.8434604123;0.03593;0.05
e_packhinges_15;2023-04-03 10:33:47;30.0528529248;0.03593;0.05
e_packhinges_16;2023-04-03 10:38:10;30.1209117791;0.03593;0.05
e_packhinges_17;2023-04-03 10:44:05;29.6350308586;0.03593;0.05
e_packhinges_18;2023-04-03 10:46:41;30.2450338706;0.03593;0.05
e_packhinges_19;2023-04-03 10:51:13;29.8390631995;0.03593;0.05
e_packhinges_20;2023-04-03 10:54:22;29.7795872946;0.03593;0.05
e_packhinges_21;2023-04-03 11:18:29;29.8861989364;0.03593;0.05
e_packhinges_22;2023-04-03 11:22:00;29.9050627169;0.03593;0.05
e_packhinges_23;2023-04-03 11:28:26;29.9767804969;0.03593;0.05
e_packhinges_24;2023-04-03 11:31:55;29.8326129938;0.03593;0.05
e_packhinges_25;2023-04-03 11:35:24;30.0123960949;0.03593;0.05
e_packhinges_26;2023-04-03 11:39:13;29.7713655885;0.03593;0.05
e_packhinges_27;2023-04-03 11:42:52;29.7495977103;0.03593;0.05
e_packhinges_28;2023-04-03 13:43:59;29.9081905002;0.03593;0.05
e_packhinges_29;2023-04-03 13:47:25;29.7368532643;0.03593;0.05
e_packhinges_30;2023-04-03 13:50:53;30.0031530161;0.03593;0.05
e_packhinges_31;2023-04-03 13:54:01;30.0100289606;0.03593;0.05
e_packhinges_32;2023-04-03 13:57:30;30.1871148456;0.03593;0.05
e_packhinges_33;2023-04-03 14:00:51;30.1616464749;0.03593;0.05
e_packhinges_34;2023-04-03 14:04:33;29.7812287302;0.03593;0.05
e_packhinges_35;2023-04-03 14:07:31;29.8809043729;0.03593;0.05
e_packhinges_36;2023-04-03 14:11:10;29.9749374126;0.03593;0.05
e_packhinges_37;2023-04-03 14:14:07;29.9335298991;0.03593;0.05
e_packhinges_38;2023-04-03 14:18:29;29.9836624445;0.03593;0.05
e_packhinges_39;2023-04-03 14:22:07;29.9399462161;0.03593;0.05
e_packhinges_40;2023-04-03 14:24:33;29.9331765811;0.03593;0.05
e_packhinges_41;2023-04-03 14:29:57;29.8820565506;0.03593;0.05
