ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_steel-waste-to-recycle[kg]
e_split_1;2023-04-03 07:38:46;6.45815106562;0.0067576962;0.0098666;0.00042
e_split_2;2023-04-03 07:38:53;6.66942626174;0.0069784914;0.0101894;0.00042
e_split_3;2023-04-03 07:38:59;6.46127402273;0.0067609794;0.0098714;0.00042
e_split_4;2023-04-03 07:39:06;6.56081527807;0.0068650158;0.0100235;0.00042
e_split_5;2023-04-03 07:39:12;6.5291579575;0.0068319102;0.0099751;0.00042
e_split_6;2023-04-03 07:39:19;6.7275526383;0.0070392306;0.0102782;0.00042
e_split_7;2023-04-03 07:39:26;6.60523625482;0.006911391;0.0100913;0.00042
e_split_8;2023-04-03 07:39:33;6.55111464974;0.0068548242;0.0100086;0.00042
e_split_9;2023-04-03 07:39:39;6.74814512754;0.0070607766;0.0103097;0.00042
e_split_10;2023-04-03 07:39:46;6.65662697311;0.006965085;0.0101698;0.00042
e_split_11;2023-04-03 07:39:53;6.67735079186;0.0069867678;0.0102015;0.00042
e_split_12;2023-04-03 07:39:59;6.53215140506;0.0068350566;0.0099797;0.00042
e_split_13;2023-04-03 07:40:06;6.57239389944;0.0068771226;0.0100412;0.00042
e_split_14;2023-04-03 07:40:13;6.66911210845;0.0069781494;0.0101889;0.00042
e_split_15;2023-04-03 07:40:20;6.65571390733;0.0069641958;0.0101685;0.00042
e_split_16;2023-04-03 07:40:26;6.78041416423;0.0070944978;0.010359;0.00042
e_split_17;2023-04-03 07:40:33;6.40397052321;0.006701061;0.0097838;0.00042
e_split_18;2023-04-03 07:40:40;6.49692611571;0.0067982574;0.0099259;0.00042
e_split_19;2023-04-03 07:40:47;6.79000486576;0.0071044842;0.0103736;0.00042
e_split_20;2023-04-03 07:40:53;6.58081344059;0.0068858778;0.010054;0.00042
e_split_21;2023-04-03 07:41:00;6.6058467296;0.006912075;0.0100923;0.00042
e_split_22;2023-04-03 07:41:06;6.74719908171;0.0070597506;0.0103082;0.00042
e_split_23;2023-04-03 07:41:13;6.77713251919;0.0070910778;0.010354;0.00042
e_split_24;2023-04-03 07:41:20;6.66584398123;0.0069747294;0.0101839;0.00042
e_split_25;2023-04-03 07:41:26;6.59734383235;0.006903183;0.0100793;0.00042
e_split_26;2023-04-03 07:41:33;6.56610386579;0.0068704878;0.0100315;0.00042
e_split_27;2023-04-03 07:41:40;6.55573118569;0.0068596806;0.0100157;0.00042
e_split_28;2023-04-03 07:41:46;6.67597507215;0.0069853314;0.0101994;0.00042
e_split_29;2023-04-03 07:41:53;6.35607768008;0.0066510606;0.0097107;0.00042
e_split_30;2023-04-03 07:42:00;6.45894783897;0.006758517;0.0098678;0.00042
e_split_31;2023-04-03 07:42:07;6.67576723617;0.0069851262;0.0101991;0.00042
e_split_32;2023-04-03 07:42:13;6.49108990952;0.0067921014;0.0099169;0.00042
e_split_33;2023-04-03 07:42:20;6.85554788909;0.007173021;0.0104738;0.00042
e_split_34;2023-04-03 07:42:26;6.47051275998;0.0067706238;0.0098855;0.00042
e_split_35;2023-04-03 07:42:33;6.78638430755;0.0071007222;0.0103681;0.00042
e_split_36;2023-04-03 07:42:40;6.65390544841;0.0069622806;0.0101657;0.00042
e_split_37;2023-04-03 07:42:46;6.59667662716;0.006902499;0.0100783;0.00042
e_split_38;2023-04-03 07:42:53;6.85963537299;0.0071772618;0.01048;0.00042
e_split_39;2023-04-03 07:42:59;6.84055052004;0.007157289;0.0104508;0.00042
e_split_40;2023-04-03 07:43:06;7.14382752361;0.0074742546;0.0109142;0.00042
e_split_41;2023-04-03 07:43:12;6.59046640246;0.006896001;0.0100688;0.00042
e_split_42;2023-04-03 07:43:19;6.66730890183;0.0069763026;0.0101862;0.00042
e_split_43;2023-04-03 07:43:25;6.73370451827;0.0070456602;0.0102876;0.00042
e_split_44;2023-04-03 07:43:32;6.90528215633;0.0072249366;0.0105497;0.00042
e_split_45;2023-04-03 07:43:39;6.68733227787;0.006997233;0.0102168;0.00042
e_split_46;2023-04-03 07:43:45;6.81099973482;0.0071264406;0.0104057;0.00042
e_split_47;2023-04-03 07:43:52;6.49790082709;0.006799215;0.0099273;0.00042
e_split_48;2023-04-03 07:43:59;6.49726234069;0.0067985994;0.0099264;0.00042
e_split_49;2023-04-03 07:44:06;6.67970768812;0.0069892302;0.0102051;0.00042
e_split_50;2023-04-03 07:44:12;6.36262064817;0.0066579006;0.0097207;0.00042
e_split_51;2023-04-03 07:44:19;6.61457705624;0.0069211722;0.0101056;0.00042
e_split_52;2023-04-03 07:44:26;6.70957064084;0.0070204206;0.0102507;0.00042
e_split_53;2023-04-03 07:44:33;6.4582184382;0.0067577646;0.0098667;0.00042
e_split_54;2023-04-03 07:44:40;6.84273014476;0.0071596146;0.0104542;0.00042
e_split_55;2023-04-03 07:44:46;6.47371997798;0.0067739754;0.0098904;0.00042
e_split_56;2023-04-03 07:44:53;6.68792592765;0.0069978486;0.0102177;0.00042
e_split_57;2023-04-03 07:45:00;6.56450032845;0.0068688462;0.0100291;0.00042
e_split_58;2023-04-03 07:45:07;6.79196773053;0.0071065362;0.0103766;0.00042
e_split_59;2023-04-03 07:45:13;7.02462415089;0.0073496982;0.0107321;0.00042
e_split_60;2023-04-03 07:45:20;6.65460427926;0.006963033;0.0101668;0.00042
e_split_61;2023-04-03 07:45:26;6.50412989187;0.0068057814;0.0099369;0.00042
e_split_62;2023-04-03 07:45:33;6.48145964418;0.0067820466;0.0099022;0.00042
