ocel_id;ocel_type
o_facility_1;Facility
o_workstation_1;Workstation
o_workstation_2;Workstation
o_workstation_3;Workstation
o_machine_splitter01;Machine
o_machine_oven01;Machine
o_machine_former02;Machine
o_machine_coater03;Machine
o_machine_cutter01;Machine
o_machine_assembler01;Machine
o_machine_packer01;Machine
o_worker_1;Worker
o_steelpin_1;SteelPin
o_steelpin_2;SteelPin
o_steelpin_3;SteelPin
o_steelcoil_1;SteelCoil
o_steelcoil_2;SteelCoil
o_steelcoil_3;SteelCoil
o_steelcoil_4;SteelCoil
o_steelpin_4;SteelPin
o_steelpin_5;SteelPin
o_steelpin_6;SteelPin
o_steelpin_7;SteelPin
o_steelpin_8;SteelPin
o_steelpin_9;SteelPin
o_steelpin_10;SteelPin
o_steelpin_11;SteelPin
o_steelpin_12;SteelPin
o_steelpin_13;SteelPin
o_steelpin_14;SteelPin
o_steelpin_15;SteelPin
o_steelpin_16;SteelPin
o_steelpin_17;SteelPin
o_steelpin_18;SteelPin
o_steelpin_19;SteelPin
o_steelpin_20;SteelPin
o_steelpin_21;SteelPin
o_steelpin_22;SteelPin
o_steelpin_23;SteelPin
o_steelpin_24;SteelPin
o_steelpin_25;SteelPin
o_steelpin_26;SteelPin
o_steelpin_27;SteelPin
o_steelpin_28;SteelPin
o_steelpin_29;SteelPin
o_steelpin_30;SteelPin
o_steelpin_31;SteelPin
o_steelpin_32;SteelPin
o_steelpin_33;SteelPin
o_steelpin_34;SteelPin
o_steelpin_35;SteelPin
o_steelpin_36;SteelPin
o_steelpin_37;SteelPin
o_steelpin_38;SteelPin
o_steelpin_39;SteelPin
o_steelpin_40;SteelPin
o_steelpin_41;SteelPin
o_steelpin_42;SteelPin
o_steelpin_43;SteelPin
o_steelpin_44;SteelPin
o_steelpin_45;SteelPin
o_steelpin_46;SteelPin
o_steelpin_47;SteelPin
o_steelpin_48;SteelPin
o_steelpin_49;SteelPin
o_steelpin_50;SteelPin
o_steelpin_51;SteelPin
o_steelpin_52;SteelPin
o_steelpin_53;SteelPin
o_steelpin_54;SteelPin
o_steelpin_55;SteelPin
o_steelpin_56;SteelPin
o_steelpin_57;SteelPin
o_steelpin_58;SteelPin
o_steelpin_59;SteelPin
o_steelpin_60;SteelPin
o_steelpin_61;SteelPin
o_steelpin_62;SteelPin
o_steelpin_63;SteelPin
o_steelpin_64;SteelPin
o_steelpin_65;SteelPin
o_steelpin_66;SteelPin
o_steelpin_67;SteelPin
o_steelpin_68;SteelPin
o_steelpin_69;SteelPin
o_steelpin_70;SteelPin
o_steelpin_71;SteelPin
o_steelpin_72;SteelPin
o_steelpin_73;SteelPin
o_steelpin_74;SteelPin
o_steelpin_75;SteelPin
o_steelpin_76;SteelPin
o_steelpin_77;SteelPin
o_steelpin_78;SteelPin
o_steelpin_79;SteelPin
o_steelpin_80;SteelPin
o_steelpin_81;SteelPin
o_steelpin_82;SteelPin
o_steelpin_83;SteelPin
o_steelpin_84;SteelPin
o_steelpin_85;SteelPin
o_steelpin_86;SteelPin
o_steelpin_87;SteelPin
o_steelpin_88;SteelPin
o_steelpin_89;SteelPin
o_steelpin_90;SteelPin
o_steelpin_91;SteelPin
o_steelpin_92;SteelPin
o_steelpin_93;SteelPin
o_steelpin_94;SteelPin
o_steelpin_95;SteelPin
o_steelpin_96;SteelPin
o_steelpin_97;SteelPin
o_steelpin_98;SteelPin
o_steelpin_99;SteelPin
o_steelpin_100;SteelPin
o_steelpin_101;SteelPin
o_steelpin_102;SteelPin
o_steelpin_103;SteelPin
o_steelpin_104;SteelPin
o_steelpin_105;SteelPin
o_steelpin_106;SteelPin
o_steelpin_107;SteelPin
o_steelpin_108;SteelPin
o_steelpin_109;SteelPin
o_steelpin_110;SteelPin
o_steelpin_111;SteelPin
o_steelpin_112;SteelPin
o_steelpin_113;SteelPin
o_steelpin_114;SteelPin
o_steelpin_115;SteelPin
o_steelpin_116;SteelPin
o_steelpin_117;SteelPin
o_steelpin_118;SteelPin
o_steelpin_119;SteelPin
o_steelpin_120;SteelPin
o_steelpin_121;SteelPin
o_steelpin_122;SteelPin
o_steelpin_123;SteelPin
o_steelpin_124;SteelPin
o_steelpin_125;SteelPin
o_steelpin_126;SteelPin
o_steelpin_127;SteelPin
o_steelpin_128;SteelPin
o_steelpin_129;SteelPin
o_steelpin_130;SteelPin
o_steelpin_131;SteelPin
o_steelpin_132;SteelPin
o_steelpin_133;SteelPin
o_steelpin_134;SteelPin
o_steelpin_135;SteelPin
o_steelpin_136;SteelPin
o_steelpin_137;SteelPin
o_steelpin_138;SteelPin
o_steelpin_139;SteelPin
o_steelpin_140;SteelPin
o_steelpin_141;SteelPin
o_steelpin_142;SteelPin
o_steelpin_143;SteelPin
o_steelpin_144;SteelPin
