ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];s_co2e[kg];i_steel-waste[kg]
o_femalepart_200;2023-04-03 08:55:48;;?;DC01;?;?
o_femalepart_188;2023-04-03 08:56:11;;?;DC01;?;?
o_malepart_200;2023-04-03 08:56:30;p_mass[kg];0.02104;;;
o_femalepart_189;2023-04-03 08:56:33;;?;DC01;?;?
o_malepart_188;2023-04-03 08:56:52;p_mass[kg];0.0211;;;
o_femalepart_80;2023-04-03 08:56:56;;?;DC01;?;?
o_malepart_189;2023-04-03 08:57:14;p_mass[kg];0.02107;;;
o_femalepart_94;2023-04-03 08:57:18;;?;DC01;?;?
o_malepart_80;2023-04-03 08:57:36;p_mass[kg];0.02117;;;
o_femalepart_63;2023-04-03 08:57:41;;?;DC01;?;?
o_malepart_94;2023-04-03 08:58:00;p_mass[kg];0.02096;;;
o_femalepart_17;2023-04-03 08:58:03;;?;DC01;?;?
o_malepart_63;2023-04-03 08:58:22;p_mass[kg];0.0212;;;
o_femalepart_44;2023-04-03 08:58:26;;?;DC01;?;?
o_malepart_17;2023-04-03 08:58:44;p_mass[kg];0.02095;;;
o_femalepart_114;2023-04-03 08:58:48;;?;DC01;?;?
o_malepart_44;2023-04-03 08:59:08;p_mass[kg];0.02125;;;
o_femalepart_103;2023-04-03 08:59:11;;?;DC01;?;?
o_malepart_114;2023-04-03 08:59:29;p_mass[kg];0.02104;;;
o_femalepart_32;2023-04-03 08:59:33;;?;DC01;?;?
o_malepart_103;2023-04-03 08:59:51;p_mass[kg];0.02082;;;
o_femalepart_18;2023-04-03 08:59:56;;?;DC01;?;?
o_malepart_32;2023-04-03 09:00:13;p_mass[kg];0.02104;;;
o_femalepart_194;2023-04-03 09:00:18;;?;DC01;?;?
o_malepart_18;2023-04-03 09:00:37;p_mass[kg];0.02112;;;
o_femalepart_59;2023-04-03 09:00:41;;?;DC01;?;?
o_malepart_194;2023-04-03 09:01:00;p_mass[kg];0.02124;;;
o_femalepart_77;2023-04-03 09:01:04;;?;DC01;?;?
o_malepart_59;2023-04-03 09:01:21;p_mass[kg];0.02114;;;
o_femalepart_102;2023-04-03 09:01:26;;?;DC01;?;?
o_malepart_77;2023-04-03 09:01:45;p_mass[kg];0.02098;;;
o_femalepart_38;2023-04-03 09:01:49;;?;DC01;?;?
o_malepart_102;2023-04-03 09:02:08;p_mass[kg];0.02105;;;
o_femalepart_178;2023-04-03 09:02:11;;?;DC01;?;?
o_malepart_38;2023-04-03 09:02:30;p_mass[kg];0.02122;;;
o_femalepart_144;2023-04-03 09:02:34;;?;DC01;?;?
o_malepart_178;2023-04-03 09:02:53;p_mass[kg];0.02117;;;
o_femalepart_14;2023-04-03 09:02:56;;?;DC01;?;?
o_malepart_144;2023-04-03 09:03:15;p_mass[kg];0.0212;;;
o_femalepart_115;2023-04-03 09:03:18;;?;DC01;?;?
o_malepart_14;2023-04-03 09:03:37;p_mass[kg];0.02116;;;
o_femalepart_50;2023-04-03 09:03:41;;?;DC01;?;?
o_malepart_115;2023-04-03 09:03:59;p_mass[kg];0.02136;;;
o_femalepart_108;2023-04-03 09:04:04;;?;DC01;?;?
o_malepart_50;2023-04-03 09:04:22;p_mass[kg];0.02112;;;
o_femalepart_125;2023-04-03 09:04:26;;?;DC01;?;?
o_malepart_108;2023-04-03 09:04:45;p_mass[kg];0.02111;;;
o_femalepart_6;2023-04-03 09:04:49;;?;DC01;?;?
o_malepart_125;2023-04-03 09:05:07;p_mass[kg];0.02113;;;
