ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];s_co2e[kg]
o_formedpart_1;2023-04-03 07:55:25;;?;DC01;0
o_formedpart_5;2023-04-03 07:55:50;;?;DC01;0
o_formedpart_1;2023-04-03 07:56:00;p_mass[kg];0.02114;;
o_formedpart_4;2023-04-03 07:56:01;;?;DC01;0
o_formedpart_6;2023-04-03 07:56:01;;?;DC01;0
o_formedpart_8;2023-04-03 07:56:02;;?;DC01;0
o_formedpart_5;2023-04-03 07:56:25;p_mass[kg];0.02123;;
o_formedpart_3;2023-04-03 07:56:26;;?;DC01;0
o_formedpart_2;2023-04-03 07:56:32;;?;DC01;0
o_formedpart_7;2023-04-03 07:56:33;;?;DC01;0
o_formedpart_4;2023-04-03 07:56:36;p_mass[kg];0.02126;;
o_formedpart_6;2023-04-03 07:56:36;p_mass[kg];0.02114;;
o_formedpart_8;2023-04-03 07:56:37;p_mass[kg];0.02122;;
o_formedpart_10;2023-04-03 07:56:38;;?;DC01;0
o_formedpart_16;2023-04-03 07:56:43;;?;DC01;0
o_formedpart_9;2023-04-03 07:56:57;;?;DC01;0
o_formedpart_3;2023-04-03 07:57:01;p_mass[kg];0.02117;;
o_formedpart_14;2023-04-03 07:57:03;;?;DC01;0
o_formedpart_15;2023-04-03 07:57:05;;?;DC01;0
o_formedpart_2;2023-04-03 07:57:06;p_mass[kg];0.02099;;
o_formedpart_7;2023-04-03 07:57:08;p_mass[kg];0.02129;;
o_formedpart_10;2023-04-03 07:57:14;p_mass[kg];0.02102;;
o_formedpart_18;2023-04-03 07:57:14;;?;DC01;0
o_formedpart_16;2023-04-03 07:57:18;p_mass[kg];0.02112;;
o_formedpart_11;2023-04-03 07:57:30;;?;DC01;0
o_formedpart_9;2023-04-03 07:57:31;p_mass[kg];0.0212;;
o_formedpart_13;2023-04-03 07:57:32;;?;DC01;0
o_formedpart_14;2023-04-03 07:57:38;p_mass[kg];0.02116;;
o_formedpart_15;2023-04-03 07:57:40;p_mass[kg];0.02112;;
