ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];s_co2e[kg]
o_hinge_200;2023-04-03 08:56:50;;0.18501;DC01;0
o_hinge_188;2023-04-03 08:57:12;;0.18579;DC01;0
o_hinge_189;2023-04-03 08:57:35;;0.1852;DC01;0
o_hinge_80;2023-04-03 08:57:57;;0.18557;DC01;0
o_hinge_94;2023-04-03 08:58:21;;0.1852;DC01;0
o_hinge_63;2023-04-03 08:58:43;;0.18564;DC01;0
o_hinge_17;2023-04-03 08:59:04;;0.18578;DC01;0
o_hinge_44;2023-04-03 08:59:29;;0.18575;DC01;0
o_hinge_114;2023-04-03 08:59:49;;0.18504;DC01;0
o_hinge_103;2023-04-03 09:00:13;;0.18504;DC01;0
o_hinge_32;2023-04-03 09:00:35;;0.18536;DC01;0
o_hinge_18;2023-04-03 09:00:59;;0.18535;DC01;0
o_hinge_194;2023-04-03 09:01:21;;0.18519;DC01;0
o_hinge_59;2023-04-03 09:01:43;;0.1852;DC01;0
o_hinge_77;2023-04-03 09:02:06;;0.18523;DC01;0
o_hinge_102;2023-04-03 09:02:29;;0.18517;DC01;0
o_hinge_38;2023-04-03 09:02:52;;0.18575;DC01;0
o_hinge_178;2023-04-03 09:03:13;;0.18541;DC01;0
o_hinge_144;2023-04-03 09:03:36;;0.18559;DC01;0
o_hinge_14;2023-04-03 09:03:58;;0.18558;DC01;0
o_hinge_115;2023-04-03 09:04:20;;0.18617;DC01;0
o_hinge_50;2023-04-03 09:04:44;;0.18561;DC01;0
o_hinge_108;2023-04-03 09:05:05;;0.18577;DC01;0
o_hinge_125;2023-04-03 09:05:28;;0.18543;DC01;0
o_hinge_6;2023-04-03 09:05:51;;0.18537;DC01;0
o_hinge_128;2023-04-03 09:06:14;;0.18521;DC01;0
o_hinge_9;2023-04-03 09:06:36;;0.18563;DC01;0
o_hinge_109;2023-04-03 09:06:58;;0.18564;DC01;0
o_hinge_41;2023-04-03 09:07:22;;0.18578;DC01;0
o_hinge_175;2023-04-03 09:07:43;;0.18615;DC01;0
o_hinge_104;2023-04-03 09:08:07;;0.18603;DC01;0
o_hinge_168;2023-04-03 09:08:30;;0.18577;DC01;0
o_hinge_130;2023-04-03 09:08:51;;0.18564;DC01;0
o_hinge_88;2023-04-03 09:09:14;;0.18582;DC01;0
