ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];s_co2e[kg]
o_hingepack_1;2023-04-03 09:00:19;;?;DC01;0
o_hingepack_2;2023-04-03 09:04:04;;?;DC01;0
o_hingepack_3;2023-04-03 09:07:49;;?;DC01;0
o_hingepack_4;2023-04-03 09:11:34;;?;DC01;0
o_hingepack_5;2023-04-03 09:15:18;;?;DC01;0
o_hingepack_6;2023-04-03 09:19:03;;?;DC01;0
o_hingepack_7;2023-04-03 09:44:32;;?;DC01;0
o_hingepack_8;2023-04-03 09:47:49;;?;DC01;0
o_hingepack_9;2023-04-03 09:50:46;;?;DC01;0
o_hingepack_10;2023-04-03 09:54:38;;?;DC01;0
o_hingepack_11;2023-04-03 09:57:48;;?;DC01;0
o_hingepack_12;2023-04-03 10:01:18;;?;DC01;0
o_hingepack_13;2023-04-03 10:05:09;;?;DC01;0
o_hingepack_14;2023-04-03 10:08:38;;?;DC01;0
o_hingepack_15;2023-04-03 10:33:47;;?;DC01;0
o_hingepack_16;2023-04-03 10:38:10;;?;DC01;0
o_hingepack_17;2023-04-03 10:44:05;;?;DC01;0
o_hingepack_18;2023-04-03 10:46:41;;?;DC01;0
o_hingepack_19;2023-04-03 10:51:13;;?;DC01;0
o_hingepack_20;2023-04-03 10:54:22;;?;DC01;0
o_hingepack_21;2023-04-03 11:18:29;;?;DC01;0
o_hingepack_22;2023-04-03 11:22:00;;?;DC01;0
o_hingepack_23;2023-04-03 11:28:26;;?;DC01;0
o_hingepack_24;2023-04-03 11:31:55;;?;DC01;0
o_hingepack_25;2023-04-03 11:35:24;;?;DC01;0
o_hingepack_26;2023-04-03 11:39:13;;?;DC01;0
o_hingepack_27;2023-04-03 11:42:52;;?;DC01;0
o_hingepack_28;2023-04-03 13:43:59;;?;DC01;0
o_hingepack_29;2023-04-03 13:47:25;;?;DC01;0
o_hingepack_30;2023-04-03 13:50:53;;?;DC01;0
o_hingepack_31;2023-04-03 13:54:01;;?;DC01;0
o_hingepack_32;2023-04-03 13:57:30;;?;DC01;0
o_hingepack_33;2023-04-03 14:00:51;;?;DC01;0
o_hingepack_34;2023-04-03 14:04:33;;?;DC01;0
o_hingepack_35;2023-04-03 14:07:31;;?;DC01;0
o_hingepack_36;2023-04-03 14:11:10;;?;DC01;0
o_hingepack_37;2023-04-03 14:14:07;;?;DC01;0
o_hingepack_38;2023-04-03 14:18:29;;?;DC01;0
