ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];s_co2e[kg];i_steel-waste[kg]
o_malepart_81;2023-04-03 08:56:01;;?;DC01;?;?
o_malepart_72;2023-04-03 08:56:23;;?;DC01;?;?
o_malepart_81;2023-04-03 08:56:40;p_mass[kg];0.02097;;;
o_malepart_21;2023-04-03 08:56:46;;?;DC01;?;?
o_malepart_72;2023-04-03 08:57:02;p_mass[kg];0.02129;;;
o_malepart_131;2023-04-03 08:57:08;;?;DC01;?;?
o_malepart_21;2023-04-03 08:57:24;p_mass[kg];0.02103;;;
o_malepart_53;2023-04-03 08:57:31;;?;DC01;?;?
o_malepart_131;2023-04-03 08:57:47;p_mass[kg];0.0211;;;
o_malepart_31;2023-04-03 08:57:53;;?;DC01;?;?
o_malepart_53;2023-04-03 08:58:10;p_mass[kg];0.02114;;;
o_malepart_186;2023-04-03 08:58:16;;?;DC01;?;?
o_malepart_31;2023-04-03 08:58:32;p_mass[kg];0.02114;;;
o_malepart_132;2023-04-03 08:58:38;;?;DC01;?;?
o_malepart_186;2023-04-03 08:58:54;p_mass[kg];0.02143;;;
o_malepart_151;2023-04-03 08:59:01;;?;DC01;?;?
o_malepart_132;2023-04-03 08:59:18;p_mass[kg];0.0211;;;
o_malepart_201;2023-04-03 08:59:23;;?;DC01;?;?
o_malepart_151;2023-04-03 08:59:39;p_mass[kg];0.021;;;
o_malepart_192;2023-04-03 08:59:46;;?;DC01;?;?
o_malepart_201;2023-04-03 09:00:02;p_mass[kg];0.02122;;;
o_malepart_51;2023-04-03 09:00:08;;?;DC01;?;?
o_malepart_192;2023-04-03 09:00:24;p_mass[kg];0.02112;;;
o_malepart_57;2023-04-03 09:00:31;;?;DC01;?;?
o_malepart_51;2023-04-03 09:00:48;p_mass[kg];0.02103;;;
o_malepart_48;2023-04-03 09:00:53;;?;DC01;?;?
o_malepart_57;2023-04-03 09:01:11;p_mass[kg];0.02085;;;
o_malepart_198;2023-04-03 09:01:16;;?;DC01;?;?
o_malepart_48;2023-04-03 09:01:32;p_mass[kg];0.02096;;;
o_malepart_10;2023-04-03 09:01:39;;?;DC01;?;?
o_malepart_198;2023-04-03 09:01:55;p_mass[kg];0.02115;;;
