ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];i_material-steel-pin[kg];s_co2e[kg]
o_steelpin_1;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_2;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_3;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_4;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_5;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_6;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_7;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_8;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_9;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_10;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_11;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_12;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_13;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_14;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_15;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_16;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_17;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_18;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_19;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_20;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_21;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_22;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_23;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_24;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_25;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_26;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_27;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_28;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_29;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_30;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_31;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_32;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_33;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_34;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_35;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_36;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
o_steelpin_37;2023-04-03 07:30:00;;0.001;DC01;0.001;0.00195
