ocel_id;ocel_time;ocel_changed_field;p_mass[kg];p_material[EN10130:2006];s_co2e[kg]
o_steelsheet_1;2023-04-03 07:38:46;;0.02114;DC01;0
o_steelsheet_2;2023-04-03 07:38:53;;0.02099;DC01;0
o_steelsheet_3;2023-04-03 07:38:59;;0.02117;DC01;0
o_steelsheet_4;2023-04-03 07:39:06;;0.02126;DC01;0
o_steelsheet_5;2023-04-03 07:39:12;;0.02123;DC01;0
o_steelsheet_6;2023-04-03 07:39:19;;0.02114;DC01;0
o_steelsheet_7;2023-04-03 07:39:26;;0.02129;DC01;0
o_steelsheet_8;2023-04-03 07:39:33;;0.02122;DC01;0
o_steelsheet_9;2023-04-03 07:39:39;;0.0212;DC01;0
o_steelsheet_10;2023-04-03 07:39:46;;0.02102;DC01;0
o_steelsheet_11;2023-04-03 07:39:53;;0.02108;DC01;0
o_steelsheet_12;2023-04-03 07:39:59;;0.02109;DC01;0
o_steelsheet_13;2023-04-03 07:40:06;;0.0213;DC01;0
o_steelsheet_14;2023-04-03 07:40:13;;0.02116;DC01;0
o_steelsheet_15;2023-04-03 07:40:20;;0.02112;DC01;0
o_steelsheet_16;2023-04-03 07:40:26;;0.02112;DC01;0
o_steelsheet_17;2023-04-03 07:40:33;;0.02095;DC01;0
o_steelsheet_18;2023-04-03 07:40:40;;0.02112;DC01;0
o_steelsheet_19;2023-04-03 07:40:47;;0.02135;DC01;0
o_steelsheet_20;2023-04-03 07:40:53;;0.02121;DC01;0
o_steelsheet_21;2023-04-03 07:41:00;;0.02103;DC01;0
o_steelsheet_22;2023-04-03 07:41:06;;0.02107;DC01;0
o_steelsheet_23;2023-04-03 07:41:13;;0.02113;DC01;0
o_steelsheet_24;2023-04-03 07:41:20;;0.02138;DC01;0
o_steelsheet_25;2023-04-03 07:41:26;;0.02093;DC01;0
o_steelsheet_26;2023-04-03 07:41:33;;0.02112;DC01;0
o_steelsheet_27;2023-04-03 07:41:40;;0.02131;DC01;0
o_steelsheet_28;2023-04-03 07:41:46;;0.02127;DC01;0
o_steelsheet_29;2023-04-03 07:41:53;;0.02116;DC01;0
