ocel_source_id;ocel_target_id;ocel_qualifier
o_workstation_1;o_facility_1;located at
o_workstation_2;o_facility_1;located at
o_workstation_3;o_facility_1;located at
o_machine_splitter01;o_workstation_1;located at
o_machine_oven01;o_workstation_1;located at
o_machine_former02;o_workstation_1;located at
o_machine_coater03;o_workstation_1;located at
o_machine_cutter01;o_workstation_2;located at
o_machine_assembler01;o_workstation_3;located at
o_machine_packer01;o_workstation_3;located at
o_steelsheet_1;o_steelcoil_4;created from
o_steelsheet_2;o_steelcoil_4;created from
o_steelsheet_3;o_steelcoil_4;created from
o_steelsheet_4;o_steelcoil_4;created from
o_steelsheet_5;o_steelcoil_4;created from
o_steelsheet_6;o_steelcoil_4;created from
o_steelsheet_7;o_steelcoil_4;created from
o_steelsheet_8;o_steelcoil_4;created from
o_steelsheet_9;o_steelcoil_4;created from
o_steelsheet_10;o_steelcoil_4;created from
o_steelsheet_11;o_steelcoil_4;created from
o_steelsheet_12;o_steelcoil_4;created from
o_steelsheet_13;o_steelcoil_4;created from
o_steelsheet_14;o_steelcoil_4;created from
o_steelsheet_15;o_steelcoil_4;created from
o_steelsheet_16;o_steelcoil_4;created from
o_steelsheet_17;o_steelcoil_4;created from
o_steelsheet_18;o_steelcoil_4;created from
o_steelsheet_19;o_steelcoil_4;created from
o_steelsheet_20;o_steelcoil_4;created from
o_steelsheet_21;o_steelcoil_4;created from
o_steelsheet_22;o_steelcoil_4;created from
o_steelsheet_23;o_steelcoil_4;created from
o_steelsheet_24;o_steelcoil_4;created from
o_steelsheet_25;o_steelcoil_4;created from
o_steelsheet_26;o_steelcoil_4;created from
o_steelsheet_27;o_steelcoil_4;created from
o_steelsheet_28;o_steelcoil_4;created from
o_steelsheet_29;o_steelcoil_4;created from
o_steelsheet_30;o_steelcoil_4;created from
o_steelsheet_31;o_steelcoil_4;created from
o_steelsheet_32;o_steelcoil_4;created from
o_steelsheet_33;o_steelcoil_4;created from
o_steelsheet_34;o_steelcoil_4;created from
o_steelsheet_35;o_steelcoil_4;created from
o_steelsheet_36;o_steelcoil_4;created from
o_steelsheet_37;o_steelcoil_4;created from
o_steelsheet_38;o_steelcoil_4;created from
o_steelsheet_39;o_steelcoil_4;created from
o_steelsheet_40;o_steelcoil_4;created from
o_steelsheet_41;o_steelcoil_4;created from
o_steelsheet_42;o_steelcoil_4;created from
o_steelsheet_43;o_steelcoil_4;created from
o_steelsheet_44;o_steelcoil_4;created from
o_steelsheet_45;o_steelcoil_4;created from
o_steelsheet_46;o_steelcoil_4;created from
o_steelsheet_47;o_steelcoil_4;created from
o_steelsheet_48;o_steelcoil_4;created from
o_steelsheet_49;o_steelcoil_4;created from
o_steelsheet_50;o_steelcoil_4;created from
o_steelsheet_51;o_steelcoil_4;created from
o_steelsheet_52;o_steelcoil_4;created from
o_steelsheet_53;o_steelcoil_4;created from
o_steelsheet_54;o_steelcoil_4;created from
o_steelsheet_55;o_steelcoil_4;created from
o_steelsheet_56;o_steelcoil_4;created from
o_steelsheet_57;o_steelcoil_4;created from
o_steelsheet_58;o_steelcoil_4;created from
o_steelsheet_59;o_steelcoil_4;created from
o_steelsheet_60;o_steelcoil_4;created from
o_steelsheet_61;o_steelcoil_4;created from
o_steelsheet_62;o_steelcoil_4;created from
o_steelsheet_63;o_steelcoil_4;created from
o_steelsheet_64;o_steelcoil_4;created from
o_steelsheet_65;o_steelcoil_4;created from
o_steelsheet_66;o_steelcoil_4;created from
o_steelsheet_67;o_steelcoil_4;created from
o_steelsheet_68;o_steelcoil_4;created from
o_steelsheet_69;o_steelcoil_4;created from
o_steelsheet_70;o_steelcoil_4;created from
o_steelsheet_71;o_steelcoil_4;created from
o_steelsheet_72;o_steelcoil_4;created from
o_steelsheet_73;o_steelcoil_4;created from
o_steelsheet_74;o_steelcoil_4;created from
o_steelsheet_75;o_steelcoil_4;created from
o_steelsheet_76;o_steelcoil_4;created from
o_steelsheet_77;o_steelcoil_4;created from
o_steelsheet_78;o_steelcoil_4;created from
o_steelsheet_79;o_steelcoil_4;created from
o_steelsheet_80;o_steelcoil_4;created from
o_steelsheet_81;o_steelcoil_4;created from
o_steelsheet_82;o_steelcoil_4;created from
o_steelsheet_83;o_steelcoil_4;created from
o_steelsheet_84;o_steelcoil_4;created from
o_steelsheet_85;o_steelcoil_4;created from
o_steelsheet_86;o_steelcoil_4;created from
o_steelsheet_87;o_steelcoil_4;created from
o_steelsheet_88;o_steelcoil_4;created from
o_steelsheet_89;o_steelcoil_4;created from
o_steelsheet_90;o_steelcoil_4;created from
o_steelsheet_91;o_steelcoil_4;created from
o_steelsheet_92;o_steelcoil_4;created from
o_steelsheet_93;o_steelcoil_4;created from
o_steelsheet_94;o_steelcoil_4;created from
o_steelsheet_95;o_steelcoil_4;created from
o_steelsheet_96;o_steelcoil_4;created from
o_steelsheet_97;o_steelcoil_4;created from
o_steelsheet_98;o_steelcoil_4;created from
o_steelsheet_99;o_steelcoil_4;created from
o_steelsheet_100;o_steelcoil_4;created from
o_steelsheet_101;o_steelcoil_4;created from
o_steelsheet_102;o_steelcoil_4;created from
o_steelsheet_103;o_steelcoil_4;created from
o_steelsheet_104;o_steelcoil_4;created from
o_steelsheet_105;o_steelcoil_4;created from
o_steelsheet_106;o_steelcoil_4;created from
o_steelsheet_107;o_steelcoil_4;created from
o_steelsheet_108;o_steelcoil_4;created from
o_steelsheet_109;o_steelcoil_4;created from
o_steelsheet_110;o_steelcoil_4;created from
o_steelsheet_111;o_steelcoil_4;created from
o_steelsheet_112;o_steelcoil_4;created from
o_steelsheet_113;o_steelcoil_4;created from
o_steelsheet_114;o_steelcoil_4;created from
o_steelsheet_115;o_steelcoil_4;created from
o_steelsheet_116;o_steelcoil_4;created from
o_steelsheet_117;o_steelcoil_4;created from
o_steelsheet_118;o_steelcoil_4;created from
o_steelsheet_119;o_steelcoil_4;created from
o_steelsheet_120;o_steelcoil_4;created from
o_steelsheet_121;o_steelcoil_4;created from
o_steelsheet_122;o_steelcoil_4;created from
o_steelsheet_123;o_steelcoil_4;created from
o_steelsheet_124;o_steelcoil_4;created from
o_steelsheet_125;o_steelcoil_4;created from
o_steelsheet_126;o_steelcoil_4;created from
o_steelsheet_127;o_steelcoil_4;created from
o_steelsheet_128;o_steelcoil_4;created from
o_steelsheet_129;o_steelcoil_4;created from
o_steelsheet_130;o_steelcoil_4;created from
o_steelsheet_131;o_steelcoil_4;created from
o_steelsheet_132;o_steelcoil_4;created from
o_steelsheet_133;o_steelcoil_4;created from
o_steelsheet_134;o_steelcoil_4;created from
o_steelsheet_135;o_steelcoil_4;created from
o_steelsheet_136;o_steelcoil_4;created from
o_steelsheet_137;o_steelcoil_4;created from
o_steelsheet_138;o_steelcoil_4;created from
o_steelsheet_139;o_steelcoil_4;created from
o_steelsheet_140;o_steelcoil_4;created from
o_steelsheet_141;o_steelcoil_4;created from
o_steelsheet_142;o_steelcoil_4;created from
o_steelsheet_143;o_steelcoil_4;created from
o_steelsheet_144;o_steelcoil_4;created from
o_steelsheet_145;o_steelcoil_4;created from
o_steelsheet_146;o_steelcoil_4;created from
o_steelsheet_147;o_steelcoil_4;created from
o_steelsheet_148;o_steelcoil_4;created from
o_steelsheet_149;o_steelcoil_4;created from
o_steelsheet_150;o_steelcoil_4;created from
o_formedpart_1;o_steelsheet_1;created from
o_steelsheet_151;o_steelcoil_4;created from
o_steelsheet_152;o_steelcoil_4;created from
o_steelsheet_153;o_steelcoil_4;created from
o_steelsheet_154;o_steelcoil_4;created from
o_formedpart_5;o_steelsheet_5;created from
o_steelsheet_155;o_steelcoil_4;created from
o_steelsheet_156;o_steelcoil_4;created from
o_formedpart_4;o_steelsheet_4;created from
o_formedpart_6;o_steelsheet_6;created from
o_formedpart_8;o_steelsheet_8;created from
o_steelsheet_157;o_steelcoil_4;created from
o_steelsheet_158;o_steelcoil_4;created from
o_steelsheet_159;o_steelcoil_4;created from
o_steelsheet_160;o_steelcoil_4;created from
o_formedpart_3;o_steelsheet_3;created from
o_formedpart_2;o_steelsheet_2;created from
o_steelsheet_161;o_steelcoil_4;created from
o_formedpart_7;o_steelsheet_7;created from
o_formedpart_10;o_steelsheet_10;created from
o_steelsheet_162;o_steelcoil_4;created from
o_formedpart_16;o_steelsheet_16;created from
o_steelsheet_163;o_steelcoil_4;created from
o_steelsheet_164;o_steelcoil_4;created from
o_formedpart_9;o_steelsheet_9;created from
o_steelsheet_165;o_steelcoil_4;created from
o_formedpart_14;o_steelsheet_14;created from
o_formedpart_15;o_steelsheet_15;created from
o_steelsheet_166;o_steelcoil_4;created from
o_steelsheet_167;o_steelcoil_4;created from
o_formedpart_18;o_steelsheet_18;created from
o_steelsheet_168;o_steelcoil_4;created from
o_steelsheet_169;o_steelcoil_4;created from
o_formedpart_11;o_steelsheet_11;created from
o_formedpart_13;o_steelsheet_13;created from
o_steelsheet_170;o_steelcoil_4;created from
